anchor_at,component_index,component_fingerprint,squared_mahalanobis,threshold,top_feature_contributions
2021-01-12T00:00:00Z,3,e37692350fa4ad4230e3336e,56.94055257347231,46.927890160080743,rv_1d=7.5853519840869383|rv_4h=6.9856143488055702|max_drawdown_3d=6.4826518893753668|rv_3d=6.280161885245727|range_ratio_3d=6.0015361420838396
2021-05-05T00:00:00Z,0,39e3bacf11776871a5ff8111,52.942217973529992,46.927890160080743,rv_4h=6.5969261083600994|rv_1d=6.5590120583136944|return_1d=5.836157026354714|return_12h=4.5133874246126577|return_4h=3.3885390898948518
2021-05-20T00:00:00Z,3,e37692350fa4ad4230e3336e,68.445710745000753,46.927890160080743,range_ratio_3d=8.3135735913486393|rv_4h=7.6609643598016692|rv_1d=7.5853519840869383|max_drawdown_3d=6.4826518893753668|rv_3d=6.280161885245727
2021-05-21T00:00:00Z,3,e37692350fa4ad4230e3336e,60.991205960788854,46.927890160080743,range_ratio_3d=8.3135735913486393|rv_1d=7.5853519840869383|rv_4h=6.9285547192692025|max_drawdown_3d=6.4826518893753668|max_runup_3d=6.2877350390357467
2021-05-22T00:00:00Z,3,e37692350fa4ad4230e3336e,59.90374407288143,46.927890160080743,range_ratio_3d=8.3135735913486393|rv_4h=7.6609643598016692|rv_1d=7.5853519840869383|max_drawdown_3d=6.4826518893753668|max_runup_3d=6.2877350390357467
2021-08-21T00:00:00Z,2,dddf565fe433ec33a8d07106,47.46444072571947,46.927890160080743,breakout_rate_3d=8.4573035340673801|return_2d=7.982888093502333|return_12h=4.7227793917996763|return_3d=3.7443645871443656|mean_upper_wick_ratio_3d=3.1137663742885868
2021-11-09T00:00:00Z,2,dddf565fe433ec33a8d07106,72.753914784216136,46.927890160080743,return_2d=7.0544386043929812|mean_upper_wick_ratio_3d=6.8713533063362542|return_autocorr_1d=6.5116480942383488|return_4h=6.4665989233780943|return_1d=5.3571416579040889
2021-12-05T00:00:00Z,3,e37692350fa4ad4230e3336e,49.250922618601912,46.927890160080743,range_ratio_3d=8.3135735913486393|rv_1d=6.1301206078957016|volume_cv_3d=3.2624174845942693|max_drawdown_3d=3.2540971834384846|rv_ratio_1d_3d=3.0402669497439576
2022-02-06T00:00:00Z,2,dddf565fe433ec33a8d07106,57.181271737071995,46.927890160080743,return_2d=9.4913319651135613|max_runup_3d=8.7153580436327367|return_autocorr_3d=7.947569648295973|return_3d=6.3572855596282736|range_ratio_3d=6.0859032285903849
2022-02-07T00:00:00Z,2,dddf565fe433ec33a8d07106,67.97912906464461,46.927890160080743,return_3d=8.9784296335926204|return_autocorr_3d=8.8732593236316326|directional_efficiency_3d=8.7154843147094638|max_runup_3d=8.2177460166636216|sign_change_rate_1d=7.4548189666662985
2022-02-18T00:00:00Z,0,39e3bacf11776871a5ff8111,47.378546930053908,46.927890160080743,directional_efficiency_1d=9.6396110409750033|return_1d=7.7271043738684071|return_12h=7.0499499622905635|return_2d=6.8954976131453485|max_drawdown_3d=2.4231095469868982
2022-02-19T00:00:00Z,0,39e3bacf11776871a5ff8111,52.022462044934329,46.927890160080743,return_autocorr_1d=7.2728490005162421|return_2d=6.4817904777753483|return_3d=6.2245637313386997|directional_efficiency_3d=5.8210351603505019|max_drawdown_3d=4.4604041519274702
2022-02-20T00:00:00Z,0,39e3bacf11776871a5ff8111,49.157388900266774,46.927890160080743,mean_lower_wick_ratio_3d=5.8315613296118691|rv_ratio_1d_3d=4.4732129573418007|directional_efficiency_3d=4.1176787409578006|return_3d=3.7083911271070455|return_autocorr_3d=3.3598152373500829
2022-03-06T00:00:00Z,0,39e3bacf11776871a5ff8111,57.235586100859415,46.927890160080743,max_drawdown_3d=7.1944723351299871|range_ratio_3d=6.4596788871685265|mean_lower_wick_ratio_3d=6.348044067305632|return_3d=6.2816982428359225|mean_body_ratio_3d=6.2485606434872114
2022-05-08T00:00:00Z,0,39e3bacf11776871a5ff8111,53.843034683588193,46.927890160080743,directional_efficiency_3d=8.527093316334641|range_ratio_3d=7.3335889194938924|max_drawdown_3d=7.0286521838511282|return_3d=6.9346394950563033|volume_cv_3d=5.7538995626041656
2022-05-10T00:00:00Z,3,e37692350fa4ad4230e3336e,48.84712773196074,46.927890160080743,rv_4h=5.2848212620277284|volume_ratio_1d_3d=5.0770610520443604|directional_efficiency_3d=3.8873832696552308|return_1d=3.7405612773905044|return_12h=3.5559888263633201
2022-06-02T00:00:00Z,0,39e3bacf11776871a5ff8111,52.217783163210001,46.927890160080743,max_runup_3d=9.9429092293721393|sign_change_rate_1d=6.4878875812737817|return_12h=5.7074240604951409|sign_change_rate_3d=4.5906749978236565|directional_efficiency_1d=4.551105722010961
2022-06-14T00:00:00Z,3,e37692350fa4ad4230e3336e,68.079978862947371,46.927890160080743,range_ratio_3d=7.9385436653059873|sign_change_rate_3d=6.7435404189557433|max_drawdown_3d=6.3767902364353821|breakout_rate_3d=5.6133312197544569|directional_efficiency_3d=5.0134179928377938
2022-06-15T00:00:00Z,3,e37692350fa4ad4230e3336e,52.311233488451201,46.927890160080743,range_ratio_3d=8.3135735913486393|max_drawdown_3d=6.4826518893753668|mean_lower_wick_ratio_3d=6.0595406413031743|breakout_rate_3d=5.6133312197544569|rv_1d=3.6914394091606249
2022-09-17T00:00:00Z,1,b03e2a19935047396af5f0d5,53.467155701401808,46.927890160080743,return_autocorr_1d=6.5231240979905332|sign_change_rate_1d=5.6312808495156652|sign_change_rate_3d=5.0971063845573976|rv_3d=4.6629306747005508|mean_lower_wick_ratio_3d=4.4039711581179537
